Volume;MaximumRainfallIntensity;Runoff;RunoffVolume;MaximumRunoffIntensity;P-0;HR-1;HR-2;HR-3;HR-4;HR-5;T-1;T-2;T-3;T-4;T-5;PB-1;PB-2;PB-3;PB-4;PB-5;VV-1;VV-2;VV-3;VV-4;VV-5
0.3;0.3;0;0;0;0.3;44;42;43;48;51;21.8;22.9;22.2;20.9;19.7;949;949;950;951;952;0.94;0.93;1.14;0.97;0.76
24;2.8;1;5.6;1.49;0.1;68;64;66;63;51;16.6;17.6;17.7;18.7;20.7;949;949;949;949;949;0.54;0.56;0.51;0.5;0.51
2.3;2;0;0;0;0.2;66;62;63;62;66;16.2;17;16.9;17.2;16.4;938;938;939;939;940;2.96;3.12;3.05;2.84;2.63
1.1;0.7;0;0;0;0.2;46;53;60;62;67;15.3;15;13.8;12.6;11.2;941;941;941;942;942;1.62;1.9;2.04;2.04;1.84
2.7;1.9;0;0;0;1.9;71;71;77;69;46;10.7;11.1;10.7;11.6;14.7;944;943;943;942;941;1.11;1.11;0.95;1.58;1.63
47.5;13.5;1;32.8;11.93;4.5;97;93;92;94;93;7.5;7.7;7.6;7.1;7.3;942;942;942;942;942;0.9;0.74;0.54;0.63;0.64
12;5.5;1;4.1;5.5;3.5;96;95;96;95;94;7.8;7.8;8.5;8.8;8.9;940;940;940;940;940;0.66;0.62;0.75;0.92;1.11
14;10;1;2.6;4;10;70;69;68;67;70;9.7;9.9;10.2;10.5;10.9;941;940;940;940;939;1.2;1.25;1.28;1.92;1.54
27.5;9.5;1;17.7;7.85;3.5;71;71;70;68;70;9.1;9.5;9.7;9.9;9.7;943;942;941;941;941;1.43;0.99;0.85;1.13;1.2
4.5;2.5;0;0;0;2.5;55;60;60;64;67;13.9;12.1;12.2;10.8;9.7;947;947;947;947;946;1.48;2.19;2.03;2.36;2.53
8;4;1;2.3;1.42788885;2;93;93;94;95;96;6.7;6.6;6.9;7.1;7.2;957;957;956;956;956;0.63;0.65;0.67;0.62;0.66
18;8;1;10.4;3.22;0.5;71;66;68;73;79;12.2;13.2;13.3;11.5;9.1;957;956;957;957;958;0.71;0.97;1.21;1.46;1.12
45.5;18;1;35;16.43;4.5;92;90;88;88;87;5;5.8;6.4;6.4;6.9;954;954;954;955;955;0.54;0.64;0.59;0.66;0.88
72.5;16.5;1;59.3;16;2.5;73;70;66;66;65;5;6.1;7;7;6.8;951;951;951;952;952;1.64;1.66;1.19;1.54;1.31
0.2;0.1;0;0;0;0.1;89;89;90;92;92;9.2;9.2;8.9;9.1;9;945;945;945;946;946;0.73;0.84;0.77;1.14;1.02
9.1;2.6;1;0.9;0.73;0.3;86;81;79;77;77;8.4;8.7;8.8;9;9.1;945;946;947;947;947;0.85;0.94;0.87;0.82;0.75
9.9;6.5;1;4.2;6.5;1;90;89;82;84;85;12.6;12.6;13.1;11.9;10.9;937;938;939;940;941;2.1;2.04;2.11;2.03;2
2.7;0.7;0;0;0;0.3;95;93;94;96;96;11.9;12.1;12;11.9;11.8;933;934;935;935;936;1.73;1.47;1.54;1.87;2.55
0.3;0.3;0;0;0;0.3;92;96;98;91;96;12.8;12.6;12;12.2;12.4;928;928;928;928;929;3.87;2.81;2.45;3.1;3.98
0.1;0.1;0;0;0;0.1;81;82;82;87;89;12;11.8;12.7;12.9;13;933;932;931;930;929;2.51;2.4;1.96;2.26;2.9
